country,year,population,total_cases,total_deaths,total_vaccinations,total_tests,cases_per_100k,deaths_per_100k,covid_burden_index,burden_scaled,Country Code,gdp_per_capita,unemployment_rate,health_expenditure_pct_gdp,vaccinations_per_100k,cases_outlier,deaths_outlier,fatality_rate,risk_level,vaccinations_per_10k,deaths_per_10k
Afghanistan,2022,40578847.0,207554.0,7849.0,12449870.0,994894.0,511.4832365739717,19.34258999522584,530.8258265691975,3.1462697794247334,AFG,357.261152798144,14.1,23.0881691,30680.68937493468,False,False,0.03781666457885659,,3068.0689374934677,1.934258999522584
Albania,2021,2827614.0,208899.0,3212.0,2316606.0,1423366.0,7387.818846561094,113.59400540526396,7501.412851966358,44.781289100987614,ALB,7242.45513146613,11.474,7.39913177,81927.94348875059,False,False,0.015375851488039674,,8192.794348875059,11.359400540526396
Albania,2022,2827614.0,332768.0,3596.0,3025728.0,1613870.0,11768.508714414344,127.17435972519587,11895.683074139539,71.11974972538684,ALB,7756.96188744253,10.137,6.19368076,107006.40186390362,False,False,0.010806327531493413,,10700.640186390363,12.717435972519587
Algeria,2022,45477391.0,271217.0,6881.0,15267442.0,230553.0,596.3776593956325,15.130595332524683,611.5082547281571,3.6387883377038936,DZA,4960.30334332888,12.346,3.6230433,33571.499297310176,False,False,0.025370828524760615,,3357.1499297310174,1.5130595332524683
Angola,2022,35635028.0,105095.0,1930.0,23701048.0,1618566.0,294.920492275185,5.4160193167239825,300.33651159190896,1.7911870309180058,AGO,3682.1131513698,14.602,2.92737579,66510.53564487168,False,False,0.018364337028402875,,6651.053564487167,0.5416019316723982
Argentina,2020,45407904.0,1674319.0,48271.0,43403.0,5126379.0,3687.2853677632866,106.30528112462534,3793.590648887912,22.54893333107822,ARG,8535.59938004389,11.461,10.45030594,95.58468058776728,False,False,0.028830228887087826,,9.558468058776727,10.630528112462533
Argentina,2021,45407904.0,5780522.0,118176.0,78305680.0,28634195.0,12730.211022292506,260.2542500089852,12990.465272301491,77.42228313379098,ARG,10738.0179223384,8.736,10.03832245,172449.44844844635,False,False,0.02044382842933562,,17244.944844844635,26.02542500089852
Argentina,2022,45407904.0,9891139.0,130124.0,112937080.0,36663990.0,21782.857451425196,286.5668496832622,22069.424301108458,131.84341210728422,ARG,13962.1894087223,6.805,9.86305332,248716.7872800295,False,False,0.013155613322186656,,24871.67872800295,28.65668496832622
Armenia,2021,2880880.0,344930.0,7972.0,1626738.0,2573937.0,11973.077670711726,276.7210019160812,12249.798672627807,72.94535003193468,ARM,4685.17997128509,15.469,12.32268524,56466.70461803338,False,False,0.02311193575508074,,5646.670461803338,27.67210019160812
Armenia,2022,2880880.0,445620.0,8710.0,2150112.0,3102267.0,15468.19027519369,302.3381744466968,15770.528449640387,94.01849434894892,ARM,6571.97445545099,13.379,9.96212864,74633.86187553803,False,False,0.019545801355414928,,7463.386187553803,30.233817444669683
Australia,2021,26200987.0,366607.0,2443.0,42580540.0,54958964.0,1399.2106480568843,9.324076226594059,1408.5347242834785,8.432560193247681,AUS,60758.9044397144,5.116,10.42525291,162515.0228119269,False,False,0.0066638116566241235,,16251.502281192688,0.9324076226594059
Australia,2022,26200987.0,10785559.0,18910.0,63583560.0,73370295.0,41164.7049784804,72.17285364097161,41236.87783212137,247.27692128544626,AUS,65169.5191118657,3.728,9.92687893,242676.20147286818,True,False,0.0017532702755601263,,24267.62014728682,7.217285364097161
Austria,2021,9064678.0,1264529.0,16697.0,16677400.0,123579209.0,13950.070813326187,184.1984900070361,14134.269303333223,84.43721883998528,AUT,53648.6437976214,6.459,12.15228558,183982.26611027992,False,False,0.013204125804943975,,18398.226611027992,18.41984900070361
Austria,2022,9064678.0,5700846.0,21634.0,20351828.0,189791719.0,62890.77229218733,238.66264196036528,63129.43493414769,378.2992843209654,AUT,52336.7725223758,4.992,11.15729332,224517.93654446414,True,False,0.0037948753570961223,,22451.793654446414,23.86626419603653
Azerbaijan,2021,10295307.0,616352.0,8346.0,11346166.0,5863885.0,5986.727739153383,81.0660624301927,6067.793801583575,36.244630684641066,AZE,5408.04535175023,6.04,4.68526697,110207.16526471722,False,False,0.013540963605212605,,11020.71652647172,8.10660624301927
Azerbaijan,2022,10295307.0,826311.0,10008.0,13857111.0,6947820.0,8026.093830907617,97.20934013915273,8123.30317104677,48.54540034600231,AZE,7770.594223351,5.65,3.97840643,134596.38454686198,False,False,0.012111662558044127,,13459.638454686197,9.720934013915272
Bahrain,2020,1533460.0,92425.0,352.0,58643.0,2355313.0,6027.2194905638235,22.954625487459733,6050.174116051283,36.255135445332776,BHR,24342.8444554718,1.781,4.7196188,3824.2275638099463,False,False,0.0038084933730051394,,382.4227563809946,2.295462548745973
Bahrain,2021,1533460.0,281406.0,1394.0,3226201.0,8005638.0,18351.049261147993,90.9055338906786,18441.954795038673,110.46991770245066,BHR,27147.8083882286,1.541,4.49223804,210387.03324507977,False,False,0.004953696793956064,,21038.703324507977,9.09055338906786
Bahrain,2022,1533460.0,696614.0,1536.0,3476633.0,9969082.0,45427.595111708164,100.16563849073337,45527.7607501989,272.9662332242119,BHR,30470.5219276023,1.326,3.83745313,226718.20588733972,True,False,0.0022049513790994724,,22671.82058873397,10.016563849073338
Bangladesh,2021,169384891.0,1585539.0,28072.0,106575144.0,11492843.0,936.0569237547876,16.57290672991607,952.6298304847037,5.6826331694483905,BGD,2482.84917843357,5.327,2.36551309,62918.919964355024,False,False,0.017705020185564656,,6291.891996435503,1.657290672991607
Bangladesh,2022,169384891.0,2037125.0,29440.0,334842980.0,13820904.0,1202.6603954894656,17.380534843571144,1220.0409303330368,7.285484512311078,BGD,2716.48592780431,4.593,2.39038587,197681.7282953531,False,False,0.014451739583972511,,19768.17282953531,1.7380534843571145
Barbados,2022,282324.0,105515.0,568.0,380980.0,697476.0,37373.726640313966,201.18728836372395,37574.91392867769,225.04710899533868,BRB,24387.0387293761,8.365,6.29389191,134944.24845213303,True,False,0.005383120883286736,,13494.424845213302,20.118728836372394
Belarus,2020,9173240.0,192361.0,1414.0,0.0,3924079.0,2096.9799111328166,15.414401018615015,2112.3943121514317,12.643537070871359,BLR,6542.85579976768,4.049,6.40607214,0.0,False,False,0.0073507623686714044,,0.0,1.5414401018615016
Belarus,2021,9173240.0,697600.0,5561.0,7708200.0,11022249.0,7604.728536482203,60.621983072502196,7665.350519554705,45.870859151183225,BLR,7489.71894713888,3.9,6.56549978,84029.19797149098,False,False,0.007971616972477065,,8402.9197971491,6.0621983072502195
Belarus,2022,9173240.0,994037.0,7118.0,17358736.0,13220483.0,10836.269409717832,77.59526623090642,10913.864675948738,65.32799752323062,BLR,7994.64806074889,3.574,6.65919876,189232.3323057066,False,False,0.007160699249625517,,18923.23323057066,7.7595266230906415
Belgium,2020,11641814.0,645277.0,19638.0,926.0,6966831.0,5542.753045186944,168.68505200306413,5711.438097190008,33.93125847913392,BEL,45906.2875805246,5.545,11.26481915,7.954086880274844,False,False,0.030433441762219945,,0.7954086880274844,16.868505200306412
Belgium,2021,11641814.0,2096712.0,28317.0,21730352.0,27361349.0,18010.18294915208,243.23528962067252,18253.418238772752,109.03403885339516,BEL,51658.238294958,6.248,11.04724503,186657.78374401102,False,False,0.013505431361102526,,18665.778374401103,24.32352896206725
Belgium,2022,11641814.0,4684904.0,33319.0,29498086.0,34315605.0,40242.04475350663,286.2011023368008,40528.24585584343,242.59707293038696,BEL,50605.7496677086,5.57,10.76192474,253380.49551384346,True,False,0.007111992049356828,,25338.049551384345,28.620110233680077
Belize,2021,402741.0,32067.0,597.0,424634.0,363915.0,7962.189099197747,148.23422497336998,8110.423324171117,48.36607149507997,BLZ,6142.98930557031,10.322,5.05842113,105435.99981129312,False,False,0.018617270090747498,,10543.599981129313,14.823422497336997
Belize,2022,402741.0,69946.0,688.0,501831.0,572900.0,17367.489279710782,170.82939159410142,17538.318671304885,104.88825324464109,BLZ,7068.21728043145,8.763,4.23173904,124603.90176316789,False,False,0.009836159322906242,,12460.390176316789,17.08293915941014
Benin,2022,13759507.0,27986.0,163.0,4232541.0,604310.0,203.3939152035026,1.1846354669538668,204.57855067045645,1.225102033088831,BEN,1266.42711031904,1.685,2.67981386,30760.84775421096,False,False,0.005824340741799472,,3076.0847754210963,0.11846354669538668
Bhutan,2021,780921.0,2660.0,3.0,1154843.0,1288876.0,340.62344334446124,0.38416177820803893,341.00760512266925,2.0452773071795995,BTN,3570.61257980872,4.803,3.0729053,147882.1801437021,False,False,0.0011278195488721805,,14788.218014370212,0.03841617782080389
Bhutan,2022,780921.0,62531.0,21.0,2011426.0,1711669.0,8007.340051042294,2.689132447456273,8010.029183489751,48.054796836043586,BTN,3711.32767981591,5.947,4.38545895,257570.996297961,False,False,0.0003358334266203963,,25757.0996297961,0.2689132447456273
Bolivia,2021,12077156.0,591773.0,19650.0,9792844.0,3076104.0,4899.936706953193,162.70386836106115,5062.6405753142535,30.0504357151634,BOL,4010.76053686204,5.089,8.159729,81085.67944307417,False,False,0.0332053000052385,,8108.567944307418,16.270386836106116
Bolivia,2022,12077156.0,1156157.0,22291.0,14690530.0,4440371.0,9573.089889705821,184.57159947259106,9757.661489178412,58.17682573612528,BOL,4219.46113742445,3.552,8.43142891,121638.98520479491,False,False,0.019280253460386435,,12163.89852047949,18.457159947259107
Bosnia and Herzegovina,2021,3204802.0,290471.0,13428.0,1553874.0,1483234.0,9063.617658750838,418.9962437617051,9482.613902512543,56.057690927551846,BIH,7295.34378682258,14.897,9.55514336,48485.80349113612,False,False,0.04622836703147647,,4848.580349113611,41.89962437617051
Bosnia and Herzegovina,2022,3204802.0,401093.0,16234.0,1924950.0,1499302.0,12515.375364843132,506.5523548724695,13021.9277197156,77.11846160854867,BIH,7655.59421024383,12.657,8.71644783,60064.55312995935,False,True,0.04047440369191185,,6006.455312995935,50.65523548724695
Botswana,2021,2439895.0,222053.0,2452.0,1128095.0,2026898.0,9100.924425026487,100.49612790714355,9201.42055293363,55.007531061787496,BWA,7807.88794570471,23.106,6.30754805,46235.39127708364,False,False,0.011042408794296858,,4623.5391277083645,10.049612790714354
Botswana,2022,2439895.0,328031.0,2786.0,3121142.0,2285160.0,13444.471995721127,114.18524157801872,13558.657237299147,81.12357294063884,BWA,8328.7090572666,23.615,5.72838593,127921.16054174463,False,False,0.008493099737524807,,12792.116054174463,11.418524157801873
Brazil,2021,210306411.0,22263834.0,618817.0,331273920.0,66100617.0,10586.37912849932,294.2454284001832,10880.624556899504,64.69525648459665,BRA,7972.53696080695,13.158,9.63646507,157519.64879472932,False,False,0.027794718555662963,,15751.964879472933,29.42454284001832
Brazil,2022,210306411.0,36302415.0,693734.0,480333920.0,70923215.0,17261.67777167763,329.8682130997899,17591.545984777422,104.88953948246494,BRA,9281.33282136864,9.231,9.14277458,228397.18376440744,False,False,0.019109858118254667,,22839.718376440742,32.98682130997899
Bulgaria,2020,6825862.0,197384.0,7123.0,4608.0,1149545.0,2891.708036289043,104.35312052895299,2996.0611568179957,17.76766069985007,BGR,10760.211975413,5.125,8.48235893,67.50795723675633,False,False,0.036087018198030237,,6.750795723675632,10.435312052895299
Bulgaria,2021,6825862.0,733882.0,30528.0,3700660.0,7419396.0,10751.491899484636,447.24021669351066,11198.732116178146,66.29791226368185,BGR,12966.1457543396,5.267,8.61892796,54215.27713276359,False,True,0.04159796806571084,,5421.5277132763595,44.72402166935107
Bulgaria,2022,6825862.0,1280617.0,38036.0,4603029.0,10080207.0,18761.249494935582,557.2336504898576,19318.483145425438,114.79643157157292,BGR,13999.1949530956,4.268,7.66357517,67435.13126986746,False,True,0.02970130804135819,,6743.513126986745,55.72336504898576
Burkina Faso,2022,22509038.0,22023.0,395.0,5117982.0,324773.0,97.84069847854003,1.7548506515471696,99.5955491300872,0.5940635934774289,BFA,827.330843486661,5.389,6.77182007,22737.453284320723,False,False,0.017935794396767017,Medium,2273.7453284320723,0.17548506515471696
Burundi,2022,13321102.0,52162.0,15.0,30480.0,1611285.0,391.57421060209583,0.11260329663416735,391.68681389873,2.3498956767991115,BDI,302.992505263552,0.915,8.39522648,228.80989876062807,False,False,0.0002875656608258886,,22.880989876062806,0.011260329663416734
Cambodia,2021,17201721.0,120493.0,3012.0,30456720.0,2289480.0,700.4706098883943,17.509875901370567,717.9804857897649,4.272863162935848,KHM,2167.40324198499,0.396,5.51976061,177056.23757064773,False,False,0.02499730274787747,,17705.62375706477,1.7509875901370566
Cambodia,2022,17201721.0,138578.0,3056.0,45217130.0,2977609.0,805.6054391301893,17.765664261151546,823.3711033913409,4.9046952918257425,KHM,2325.03050040841,0.231,4.71089554,262863.9890159828,False,False,0.022052562455801065,,26286.398901598277,1.7765664261151546
Cameroon,2022,27632770.0,123993.0,1965.0,4003595.0,2731181.0,448.7172295792279,7.111122048205808,455.8283516274337,2.7207478656681907,CMR,1604.87726954895,3.653,4.47835922,14488.576425743782,False,False,0.015847668820014035,,1448.8576425743781,0.7111122048205808
Canada,2020,38821259.0,565504.0,15274.0,96170.0,17965095.0,1456.68639958328,39.34442208584734,1496.0308216691274,8.897496085843068,CAN,43537.839298904,9.657,13.02419472,247.7250930991187,False,False,0.02700953485740154,,24.77250930991187,3.934442208584734
Canada,2021,38821259.0,2102470.0,29958.0,68836540.0,52662229.0,5415.769746158928,77.16905832446083,5492.938804483389,32.80329471025141,CAN,52886.6616372703,7.527,12.41920948,177316.60892296152,False,False,0.014248954800781937,,17731.66089229615,7.716905832446083
Canada,2022,38821259.0,4492780.0,48771.0,96303710.0,62177630.0,11572.988913110727,125.62961958549566,11698.618532696222,69.94045195700633,CAN,56256.8007264015,5.279,11.23432541,248069.51778663334,False,False,0.010855416913358767,,24806.951778663337,12.562961958549566
Central African Republic,2022,5098038.0,15360.0,113.0,2354281.0,94759.0,301.29237953895205,2.2165389900977592,303.5089185290498,1.8166204331941032,CAF,467.359825026238,5.956,9.95509052,46180.13831987914,False,False,0.007356770833333333,,4618.013831987914,0.22165389900977592
Chad,2022,18455319.0,7650.0,194.0,3891785.0,218873.0,41.451464480240084,1.051187465250533,42.50265194549062,0.25291353674244266,TCD,966.036468278568,1.096,4.52549791,21087.606234278584,False,False,0.025359477124183006,Low,2108.7606234278583,0.1051187465250533
Chile,2020,19553033.0,605950.0,16499.0,8648.0,6443459.0,3099.0077089319084,84.38077100365963,3183.388479935568,18.93156933760609,CHL,13114.815470545,10.934,9.68910599,44.228432489220474,False,False,0.027228319168248204,,4.422843248922047,8.438077100365962
Chile,2021,19553033.0,1804682.0,39096.0,44314172.0,27121207.0,9229.678076030455,199.9485194956711,9429.626595526126,56.17786253416541,CHL,16206.8325493421,9.281,9.68593311,226635.79609362906,False,False,0.021663650438138133,,22663.579609362907,19.99485194956711
Chile,2022,19553033.0,5032352.0,63149.0,62623840.0,39773213.0,25736.938100600553,322.9626830783746,26059.900783678928,155.71347933591682,CHL,15405.6165774073,8.249,10.06172848,320276.85934964666,False,False,0.012548605502953688,,32027.68593496467,32.29626830783746
China,2020,1425179562.0,96673.0,4788.0,4500000.0,160000000.0,6.783215433172202,0.33595766650490316,7.119173099677106,0.04204312326505282,CHN,10627.4637989619,5.0,5.59359741,315.74968656475863,False,False,0.04952778955861512,Low,31.574968656475864,0.033595766650490314
China,2022,1425179562.0,84925042.0,52544.0,3478094000.0,9214000000.0,5958.901198444214,3.6868336735241503,5962.588032117738,35.768154525359385,CHN,12970.6056414327,4.98,5.36948681,244046.02007617056,False,False,0.0006187103210381692,,24404.602007617057,0.368683367352415
Colombia,2021,51737944.0,5138603.0,129866.0,64690490.0,29564153.0,9931.981448663673,251.0072684759178,10182.988717139591,60.595917765885716,COL,6222.62164397614,13.898,9.01772404,125034.9066828013,False,False,0.025272627599368932,,12503.49066828013,25.10072684759178
Colombia,2022,51737944.0,6345115.0,142179.0,89787650.0,35241195.0,12263.948872804069,274.80604950208306,12538.754922306152,74.68291743483275,COL,6680.44506854481,10.547,7.57361269,173543.13499585527,False,False,0.022407631697770648,,17354.31349958553,27.480604950208306
Comoros,2022,834191.0,8985.0,161.0,835021.0,100289.0,1077.0914574719698,19.30013629972033,1096.3915937716902,6.5397492900306995,COM,1465.479642862,3.816,8.3803854,100099.49759707309,False,False,0.017918753478018922,,10009.949759707308,1.930013629972033
Costa Rica,2020,5081764.0,166799.0,2156.0,55.0,427761.0,3282.30512082025,42.42621263010246,3324.7313334503524,19.863535575441908,CRI,12394.0493969492,16.432,7.82545757,1.0823013426046546,False,False,0.012925736964849908,,0.10823013426046546,4.242621263010246
Costa Rica,2021,5081764.0,570960.0,7354.0,7756348.0,2266262.0,11235.468628610066,144.7135286093569,11380.182157219422,67.99166588609782,CRI,12838.1185358931,15.139,7.61130476,152631.01552925323,False,False,0.012880061650553453,,15263.101552925322,14.47135286093569
Costa Rica,2022,5081764.0,1166842.0,9085.0,12606343.0,3677525.0,22961.357512863644,178.77650359205975,23140.134016455704,138.4832510915501,CRI,13625.9008491328,11.325,7.18368196,248070.21734972342,False,False,0.007785972736668718,,24807.021734972343,17.877650359205976
Croatia,2020,3907031.0,208446.0,3860.0,7864.0,1019109.0,5335.150911267405,98.7962470735451,5433.9471583409495,32.406090455898614,HRV,14807.5608543265,7.507,7.64949179,201.27815725035197,False,False,0.018517985473455956,,20.127815725035198,9.87962470735451
Croatia,2021,3907031.0,709678.0,12493.0,4729751.0,3757416.0,18164.125137476512,319.75686909062154,18483.882006567135,110.26377830122155,HRV,17788.7865816658,7.608,8.01351929,121057.42186330233,False,False,0.017603758324197735,,12105.742186330233,31.975686909062155
Croatia,2022,3907031.0,1263517.0,17583.0,5354058.0,4922712.0,32339.569355861266,450.034821837861,32789.604177699126,195.83755542251905,HRV,18465.5414420364,6.96,7.21545315,137036.48627308052,False,True,0.013915918820245395,,13703.648627308052,45.0034821837861
Cyprus,2021,1331376.0,161779.0,646.0,1541159.0,19402172.0,12151.263054163512,48.52122916441336,12199.784283327925,73.10166324163873,CYP,32937.83984375,7.513,9.47552109,115756.85606470298,False,False,0.003993101700467922,,11575.685606470299,4.852122916441337
Cyprus,2022,1331376.0,631111.0,1258.0,1797542.0,29501771.0,47402.91247551405,94.48870942543654,47497.40118493949,284.7954296907861,CYP,33231.04296875,6.806,8.87060547,135013.85033228778,True,False,0.0019933102100898256,,13501.385033228778,9.448870942543653
Czechia,2020,10673216.0,723577.0,11888.0,11879.0,4224539.0,6779.371840689817,111.38161169042208,6890.753452380239,41.12175749090059,CZE,23472.8915454417,2.55,9.15721989,111.29728846488256,False,False,0.016429488499496252,,11.129728846488256,11.138161169042208
Czechia,2021,10673216.0,2517380.0,36332.0,15499506.0,47161361.0,23585.955723185965,340.40349225575494,23926.35921544172,142.8773483081388,CZE,27696.4619527544,2.803,9.45247459,145218.70446545823,False,False,0.014432465499845077,,14521.870446545821,34.0403492255755
Czechia,2022,10673216.0,4580135.0,42152.0,18601404.0,54587458.0,42912.41740071596,394.93251143797704,43307.349912153935,259.05423445004766,CZE,28282.2236715857,2.224,8.79904652,174281.15387152287,True,False,0.009203222175765562,,17428.115387152287,39.49325114379771
Denmark,2020,5902901.0,161230.0,1256.0,11.0,10540209.0,2731.368864224557,21.27767346936701,2752.646537693924,16.47332387922481,DNK,60985.4885601514,5.637,10.71854591,0.18634905108522062,False,False,0.007790113502449916,,0.018634905108522063,2.127767346936701
Denmark,2021,5902901.0,783702.0,3256.0,11882638.0,53569800.0,13276.556730326325,55.159319121225316,13331.71604944755,79.87997765844285,DNK,69340.7334922138,5.043,10.74728584,201301.66506265308,False,False,0.004154640411789175,,20130.16650626531,5.515931912122531
Denmark,2022,5902901.0,3388439.0,7782.0,14929608.0,64649913.0,57402.94475546855,131.83348323138065,57534.778238699924,344.9450024657368,DNK,67781.0940939514,4.434,9.4758625,252919.84398857443,True,False,0.0022966327562632823,,25291.984398857443,13.183348323138066
Djibouti,2022,1137101.0,15690.0,189.0,338051.0,309732.0,1379.8246593750248,16.621214826123623,1396.4458742011484,8.345432815554641,DJI,3133.25779772463,26.307,2.49675012,29729.197318444007,False,False,0.012045889101338431,,2972.9197318444008,1.6621214826123623
Dominican Republic,2021,11230734.0,417268.0,4246.0,14086551.0,2191882.0,3715.411655195466,37.80696791500894,3753.218623110475,22.44369780283283,DOM,8527.0754858205,7.702,4.91807747,125428.58730337661,False,False,0.010175714408964982,,12542.85873033766,3.780696791500894
Dominican Republic,2022,11230734.0,659009.0,4384.0,16171774.0,3444251.0,5867.9067637075195,39.03573889293433,5906.942502600454,35.36358353781685,DOM,10104.2449349081,5.504,4.57254791,143995.69965774278,False,False,0.006652412941249664,,14399.569965774277,3.9035738892934333
Ecuador,2021,17823900.0,545800.0,33669.0,27566332.0,2046961.0,3062.180555321787,188.89805261474763,3251.0786079365344,19.12867554238971,ECU,6061.32350181711,4.552,8.20646191,154659.37308894238,False,False,0.06168743129351411,,15465.937308894238,18.889805261474763
Ecuador,2022,17823900.0,1044749.0,35948.0,39296436.0,2870685.0,5861.506179904511,201.684255409871,6063.190435314382,35.97577410106655,ECU,6515.58528418336,3.761,7.53457022,220470.46942588323,False,False,0.034408264568810305,,22047.04694258832,20.1684255409871
El Salvador,2021,6280316.0,121741.0,3823.0,9620698.0,1162090.0,1938.4534154013907,60.872733155465426,1999.326148556856,11.874211425030206,SLV,4642.60743101342,4.327,10.12668991,153188.1198334606,False,False,0.031402732029472406,,15318.81198334606,6.087273315546542
El Salvador,2022,6280316.0,201785.0,4230.0,11289175.0,1921625.0,3212.9752706710938,67.35329878305485,3280.3285694541487,19.54726481915878,SLV,5074.60210221806,2.999,9.84079742,179754.88812983295,False,False,0.020962906063384294,,17975.488812983294,6.735329878305485
Equatorial Guinea,2021,1803549.0,13710.0,175.0,452666.0,267432.0,760.1678690182524,9.70309096121037,769.8709599794628,4.5998195779543565,GNQ,6945.63069794539,8.976,3.39468098,25098.624988841446,False,False,0.012764405543398978,,2509.8624988841443,0.970309096121037
Equatorial Guinea,2022,1803549.0,17089.0,183.0,488738.0,484554.0,947.5206939207085,10.146660833722843,957.6673547544314,5.725710806859142,GNQ,7589.29964909381,8.455,2.91350007,27098.681544000192,False,False,0.010708642986716602,,2709.868154400019,1.0146660833722843
Estonia,2020,1350093.0,31031.0,284.0,2475.0,640612.0,2298.434256010512,21.03558791875819,2319.46984392927,13.874747887738103,EST,23933.9939421065,6.956,7.57906437,183.32070457368494,False,False,0.009152138184396249,,18.33207045736849,2.1035587918758187
Estonia,2021,1350093.0,226809.0,1828.0,1808855.0,2536827.0,16799.509367132487,135.39807998411962,16934.907447116606,101.3386485227314,EST,27951.1659277744,6.178,7.47860336,133980.02952389207,False,False,0.008059644899452843,,13398.002952389204,13.539807998411963
Estonia,2022,1350093.0,594217.0,2727.0,2101403.0,3425068.0,44013.04206450963,201.98608540300555,44215.028149912636,264.8861967286698,EST,28340.3826549406,5.571,6.98701143,155648.75901141626,True,False,0.004589232553090874,,15564.875901141626,20.198608540300555
Eswatini,2022,1218921.0,74021.0,1422.0,773579.0,549656.0,6072.665906978385,116.66055470370928,6189.326461682093,36.902637660685144,SWZ,3894.1620089869,35.359,7.2226615,63464.24419630148,False,False,0.019210764512773402,,6346.424419630148,11.666055470370928
Ethiopia,2021,125384285.0,415443.0,6926.0,10916152.0,4112267.0,331.33578103507944,5.523818236073205,336.85959927115266,2.0101099591547693,ETH,893.00983544905,3.935,3.2075386,8706.156437387668,False,False,0.016671360451373594,,870.6156437387667,0.5523818236073205
Ethiopia,2022,125384285.0,497974.0,7572.0,52509416.0,5024643.0,397.15822441384904,6.039034317578156,403.1972587314272,2.4071054837534067,ETH,982.103161506992,3.409,2.85274577,41878.78568673897,False,False,0.015205613144461358,,4187.8785686738975,0.6039034317578156
